DATE,User_ID,USER_TYPE,no_of_bets_placed,deposit_amount,bet_amount,bet_won_amount,withdrawal_amount,total_bonus_payout,bonus_names
07/02/2024,1078,VIP,1,0,470.49,0,0,200,High Roller
07/02/2024,1089,player,1,0,363,0,0,200,High Roller
08/02/2024,1045,VIP,1,0,394.17,0,0,200,High Roller
08/02/2024,1049,player,2,0,543.71,0,0,200,High Roller
08/02/2024,1064,VIP,1,0,428.13,0,0,200,High Roller
09/02/2024,1002,player,1,0,417.36,0,0,200,High Roller
09/02/2024,1033,player,1,0,423.13,0,0,200,High Roller
09/02/2024,1063,player,1,0,404.63,0,0,200,High Roller
09/02/2024,1098,player,1,0,430.79,0,380.02,200,High Roller
10/02/2024,1005,player,1,0,452.1,467.04,426.21,200,High Roller
10/02/2024,1022,VIP,1,0,391.93,0,0,200,High Roller
10/02/2024,1035,player,1,0,403.74,0,0,200,High Roller
10/02/2024,1037,player,1,0,444.93,380.9,0,200,High Roller
11/02/2024,1012,player,1,0,370.32,0,0,200,High Roller
11/02/2024,1083,VIP,1,413.93,465.66,0,322.67,200,High Roller
12/02/2024,1015,VIP,1,0,380.69,0,0,200,High Roller
12/02/2024,1023,player,1,0,356,0,146.69,200,High Roller
12/02/2024,1039,player,2,0,567.8,0,0,200,High Roller
12/02/2024,1060,player,1,0,403.71,0,0,200,High Roller
13/02/2024,1006,player,1,0,460.9,270.35,0,200,High Roller
13/02/2024,1088,player,1,0,482.95,0,0,200,High Roller
14/02/2024,1068,player,1,0,470.89,0,0,200,High Roller
14/02/2024,1096,VIP,1,0,375.49,0,0,200,High Roller
15/02/2024,1003,player,2,0,478.6,0,0,200,High Roller
15/02/2024,1019,player,1,0,447.04,0,0,200,High Roller
17/02/2024,1010,player,1,0,367.58,0,0,200,High Roller
17/02/2024,1086,VIP,1,0,350.36,0,0,200,High Roller
18/02/2024,1053,VIP,1,0,434.14,56.13,0,200,High Roller
19/02/2024,1013,player,1,0,365,0,0,200,High Roller
19/02/2024,1016,player,1,0,467.92,0,344.72,200,High Roller
19/02/2024,1038,VIP,1,0,351.93,0,0,200,High Roller
19/02/2024,1080,player,2,0,485.31,0,0,200,High Roller
20/02/2024,1040,player,1,0,403.53,0,90.23,200,High Roller
20/02/2024,1047,player,1,0,439.3,0,0,200,High Roller
20/02/2024,1073,VIP,1,0,466.44,0,118.92,200,High Roller
21/02/2024,1018,player,1,0,437.83,0,0,200,High Roller
21/02/2024,1055,VIP,1,0,428.23,0,0,200,High Roller
22/02/2024,1087,player,1,0,370.59,0,0,200,High Roller
23/02/2024,1014,player,2,0,506.27,0,0,200,High Roller
26/02/2024,1025,player,1,0,451.34,0,0,200,High Roller
27/02/2024,1032,player,1,0,454.84,0,0,200,High Roller
27/02/2024,1044,VIP,1,0,397.91,0,0,200,High Roller
27/02/2024,1082,player,1,0,450.82,0,0,200,High Roller
28/02/2024,1069,player,1,0,391,86.58,476.83,200,High Roller
01/12/2024,1005,player,1,0,407.01,0,0,120,Holiday Special
01/12/2024,1007,player,1,0,410.99,0,0,120,Holiday Special
01/12/2024,1008,player,1,0,349.99,0,0,120,Holiday Special
01/12/2024,1034,VIP,1,0,139.98,0,0,120,Holiday Special
01/12/2024,1040,player,1,0,352.85,0,0,120,Holiday Special
01/12/2024,1060,player,1,0,234.99,0,0,120,Holiday Special
01/12/2024,1066,player,2,0,362.41999999999996,0,0,120,Holiday Special
01/12/2024,1083,VIP,1,0,145.06,0,0,120,Holiday Special
02/12/2024,1015,VIP,1,0,123.84,0,0,120,Holiday Special
02/12/2024,1044,VIP,1,0,306.64,0,0,120,Holiday Special
02/12/2024,1052,VIP,1,0,369.46,0,0,120,Holiday Special
02/12/2024,1057,player,1,0,245.84,0,0,120,Holiday Special
03/12/2024,1002,player,1,0,438.9,0,0,120,Holiday Special
03/12/2024,1038,VIP,1,0,367.58,0,0,120,Holiday Special
04/12/2024,1013,player,1,0,498.78,0,0,120,Holiday Special
04/12/2024,1041,VIP,1,0,309,0,0,120,Holiday Special
04/12/2024,1048,VIP,1,0,129.82,0,0,120,Holiday Special
04/12/2024,1070,player,1,0,416,0,0,120,Holiday Special
05/12/2024,1006,player,1,0,115,0,0,120,Holiday Special
06/12/2024,1043,player,1,0,461.19,0,0,120,Holiday Special
06/12/2024,1046,player,1,0,343.07,0,0,120,Holiday Special
06/12/2024,1051,VIP,1,0,233.97,0,0,120,Holiday Special
06/12/2024,1058,VIP,1,0,417.81,0,0,120,Holiday Special
07/12/2024,1010,player,1,0,424.96,0,0,120,Holiday Special
07/12/2024,1021,player,1,0,208.24,0,0,120,Holiday Special
07/12/2024,1029,player,1,101.73,128.63,0,0,120,Holiday Special
07/12/2024,1035,player,1,0,240.23,0,0,120,Holiday Special
07/12/2024,1042,player,1,0,117.78,0,0,120,Holiday Special
07/12/2024,1073,VIP,1,0,221.03,0,0,120,Holiday Special
07/12/2024,1093,player,1,0,344.09,0,0,120,Holiday Special
07/12/2024,1095,player,1,0,461.63,0,0,120,Holiday Special
07/12/2024,1097,player,1,0,266.71,0,0,120,Holiday Special
08/12/2024,1067,VIP,1,0,350.36,0,0,120,Holiday Special
09/12/2024,1050,VIP,1,0,462.95,0,0,120,Holiday Special
09/12/2024,1079,player,1,0,271,0,0,120,Holiday Special
09/12/2024,1082,player,1,0,482.95,0,0,120,Holiday Special
10/12/2024,1004,VIP,1,0,281.17,0,0,120,Holiday Special
10/12/2024,1056,player,1,0,201.1,0,0,120,Holiday Special
10/12/2024,1064,VIP,1,0,390.65,0,0,120,Holiday Special
10/12/2024,1074,VIP,1,0,325.88,382.01,0,120,Holiday Special
11/12/2024,1031,VIP,1,0,192.15,0,0,120,Holiday Special
11/12/2024,1037,player,1,0,122.94,0,0,120,Holiday Special
11/12/2024,1078,VIP,1,0,390.96,0,0,120,Holiday Special
14/12/2024,1014,player,1,0,185.52,0,0,120,Holiday Special
14/12/2024,1018,player,1,0,243.72,0,0,120,Holiday Special
14/12/2024,1090,player,1,0,468.57,0,0,120,Holiday Special
16/12/2024,1039,player,1,0,164.35,0,0,120,Holiday Special
16/12/2024,1062,player,1,357.29,360.93,0,0,120,Holiday Special
16/12/2024,1089,player,1,0,445.54,0,0,120,Holiday Special
17/12/2024,1026,player,1,0,416.67,0,0,120,Holiday Special
17/12/2024,1091,VIP,1,0,222.54,0,0,120,Holiday Special
18/12/2024,1011,player,1,152.35,250.52,0,0,120,Holiday Special
18/12/2024,1016,player,1,0,285.08,0,0,120,Holiday Special
18/12/2024,1033,player,2,126.52,569.75,0,0,120,Holiday Special
18/12/2024,1054,VIP,1,0,143.43,0,0,120,Holiday Special
19/12/2024,1023,player,1,0,453.67,0,0,120,Holiday Special
20/12/2024,1019,player,1,0,240.23,0,0,120,Holiday Special
20/12/2024,1020,player,1,0,347.97,0,0,120,Holiday Special
20/12/2024,1068,player,1,0,202.77,0,0,120,Holiday Special
20/12/2024,1084,player,1,0,345.5,0,0,120,Holiday Special
21/12/2024,1009,VIP,1,0,116.63,0,0,120,Holiday Special
21/12/2024,1025,player,1,0,287.4,0,260.49,120,Holiday Special
24/12/2024,1036,VIP,1,0,439.67,0,0,120,Holiday Special
24/12/2024,1069,player,2,0,397.64,0,0,120,Holiday Special
25/12/2024,1076,player,1,0,487.56,0,0,120,Holiday Special
26/12/2024,1086,VIP,1,0,483.85,0,0,120,Holiday Special
27/12/2024,1012,player,1,0,329.57,258.83,0,120,Holiday Special
28/12/2024,1028,player,1,0,432.9,0,0,120,Holiday Special
28/12/2024,1032,player,1,0,366.93,0,0,120,Holiday Special
28/12/2024,1085,player,1,0,385.11,0,0,120,Holiday Special
28/12/2024,1087,player,1,0,402.06,0,0,120,Holiday Special
30/12/2024,1022,VIP,2,0,517.17,0,0,120,Holiday Special
30/12/2024,1071,player,1,16.11,177.95,0,0,120,Holiday Special
01/04/2024,1040,player,1,0,354.26,0,0,100,Loyalty Reward
01/04/2024,1069,player,1,0,372.2,0,0,100,Loyalty Reward
01/04/2024,1072,player,1,0,356.71,0,0,100,Loyalty Reward
01/04/2024,1081,player,1,0,364.83,0,0,100,Loyalty Reward
01/04/2024,1099,player,1,0,408.6,0,356.18,100,Loyalty Reward
02/04/2024,1098,player,1,0,448.4,0,0,100,Loyalty Reward
03/04/2024,1003,player,2,0,761.74,0,0,100,Loyalty Reward
03/04/2024,1095,player,2,0,361.63,417.06,0,100,Loyalty Reward
03/04/2024,1100,player,1,0,431.49,0,0,100,Loyalty Reward
04/04/2024,1023,player,1,0,482.18,0,598.7,100,Loyalty Reward
04/04/2024,1035,player,1,0,471.65,0,285.97,100,Loyalty Reward
05/04/2024,1060,player,2,0,603.02,0,0,100,Loyalty Reward
05/04/2024,1084,player,2,0,587.34,55.49,0,100,Loyalty Reward
06/04/2024,1008,player,1,0,426.75,0,0,100,Loyalty Reward
08/04/2024,1039,player,1,0,391.89,0,0,100,Loyalty Reward
09/04/2024,1021,player,1,0,398.06,0,0,100,Loyalty Reward
09/04/2024,1043,player,1,0,468.82,0,342.43,100,Loyalty Reward
10/04/2024,1033,player,2,0,423.8,0,109.17,100,Loyalty Reward
11/04/2024,1007,player,1,0,368.48,0,0,100,Loyalty Reward
12/04/2024,1080,player,1,0,383.33,0,0,100,Loyalty Reward
13/04/2024,1001,player,1,0,471.67,0,126.8,100,Loyalty Reward
13/04/2024,1090,player,1,0,386.95,0,70.04,100,Loyalty Reward
14/04/2024,1049,player,1,0,446.04,0,0,100,Loyalty Reward
15/04/2024,1028,player,1,0,440.37,0,0,100,Loyalty Reward
15/04/2024,1092,player,1,0,411.38,0,0,100,Loyalty Reward
16/04/2024,1017,player,1,0,492.16,0,0,100,Loyalty Reward
17/04/2024,1065,player,1,0,445.38,0,0,100,Loyalty Reward
18/04/2024,1085,player,1,0,456.8,0,0,100,Loyalty Reward
19/04/2024,1042,player,1,0,472.37,0,431.42,100,Loyalty Reward
20/04/2024,1087,player,1,0,373.43,0,15.06,100,Loyalty Reward
22/04/2024,1062,player,1,0,499.17,0,0,100,Loyalty Reward
26/04/2024,1016,player,1,0,439.7,0,0,100,Loyalty Reward
26/04/2024,1026,player,1,0,359.53,0,0,100,Loyalty Reward
27/04/2024,1097,player,1,0,428.22,0,0,100,Loyalty Reward
28/04/2024,1024,player,1,0,496.48,0,0,100,Loyalty Reward
29/04/2024,1018,player,1,0,375.32,0,0,100,Loyalty Reward
29/04/2024,1019,player,2,0,517.73,0,0,100,Loyalty Reward
29/04/2024,1057,player,1,0,470.38,0,0,100,Loyalty Reward
01/01/2024,1004,VIP,0,0,0,0,216.64,0,
01/01/2024,1006,player,0,0,0,495.93,0,0,
01/01/2024,1007,player,0,0,0,0,211.53,0,
01/01/2024,1014,player,0,0,0,0,462.11,0,
01/01/2024,1017,player,0,229.81,0,0,0,0,
01/01/2024,1027,VIP,0,340.46,0,0,0,0,
01/01/2024,1043,player,0,0,0,275.79,0,0,
01/01/2024,1044,VIP,1,0,24.22,0,0,0,
01/01/2024,1045,VIP,0,0,0,0,242.91,0,
01/01/2024,1047,player,0,0,0,0,103.12,0,
01/01/2024,1049,player,0,0,0,0,498.13,0,
01/01/2024,1053,VIP,0,417.81,0,0,0,0,
01/01/2024,1056,player,0,0,0,84.07,0,0,
01/01/2024,1057,player,0,0,0,0,394.51,0,
01/01/2024,1068,player,0,0,0,441.06,0,0,
01/01/2024,1074,VIP,1,0,97.15,0,0,0,
01/01/2024,1076,player,1,0,46.77,0,0,0,
01/01/2024,1078,VIP,0,0,0,180.58,0,0,
01/01/2024,1083,VIP,1,0,19.02,0,0,0,
01/01/2024,1088,player,0,302.51,0,0,0,0,
01/01/2024,1093,player,0,383.51,0,0,170.55,0,
01/01/2024,1097,player,0,487.78,0,0,0,0,
01/01/2024,1100,player,0,0,0,0,275.36,0,
02/01/2024,1002,player,0,324.48,0,0,0,0,
02/01/2024,1003,player,0,0,0,0,314.8,0,
02/01/2024,1004,VIP,0,0,0,0,214.39,0,
02/01/2024,1009,VIP,0,388.35,0,0,0,0,
02/01/2024,1016,player,0,0,0,189.15,0,0,
02/01/2024,1017,player,1,0,47.42,0,0,0,
02/01/2024,1018,player,0,93.39,0,0,0,0,
02/01/2024,1025,player,0,0,0,279.56,0,0,
02/01/2024,1028,player,1,0,75.89,0,0,0,
02/01/2024,1030,player,0,227.96,0,0,0,0,
02/01/2024,1035,player,0,451.57,0,0,0,0,
02/01/2024,1038,VIP,0,49.72,0,0,0,0,
02/01/2024,1039,player,0,491.19,0,0,0,0,
02/01/2024,1043,player,0,335.59,0,0,0,0,
02/01/2024,1044,VIP,0,0,0,226.17,66.39,0,
02/01/2024,1046,player,1,0,253.7,0,0,0,
02/01/2024,1051,VIP,0,255.09,0,0,0,0,
02/01/2024,1052,VIP,0,0,0,24.1,0,0,
02/01/2024,1053,VIP,0,369.07,0,466.81,17.95,0,
02/01/2024,1055,VIP,0,317.93,0,0,0,0,
02/01/2024,1061,player,0,0,0,193.78,0,0,
02/01/2024,1068,player,0,0,0,0,366.95,0,
02/01/2024,1070,player,0,0,0,81.57,0,0,
02/01/2024,1073,VIP,0,0,0,0,56.89,0,
02/01/2024,1075,VIP,0,396.46,0,391.23,0,0,
02/01/2024,1076,player,0,0,0,59.33,0,0,
02/01/2024,1077,VIP,0,0,0,0,465.75,0,
02/01/2024,1079,player,1,0,447.86,0,0,0,
02/01/2024,1082,player,0,0,0,329.83,0,0,
02/01/2024,1087,player,0,0,0,350.58,0,0,
02/01/2024,1091,VIP,0,0,0,0,300.62,0,
02/01/2024,1092,player,0,0,0,0,335.47,0,
02/01/2024,1094,VIP,0,451.72,0,0,0,0,
02/01/2024,1098,player,0,0,0,0,295.82,0,
02/01/2024,1100,player,0,0,0,0,335.87,0,
03/01/2024,1007,player,0,0,0,207.26,0,0,
03/01/2024,1010,player,0,0,0,344.86,0,0,
03/01/2024,1012,player,0,0,0,88.68,0,0,
03/01/2024,1022,VIP,0,230.49,0,0,0,0,
03/01/2024,1025,player,0,0,0,363.26,0,0,
03/01/2024,1033,player,0,19.5,0,0,0,0,
03/01/2024,1034,VIP,0,0,0,0,335.1,0,
03/01/2024,1035,player,0,0,0,95.12,0,0,
03/01/2024,1036,VIP,0,0,0,146.84,0,0,
03/01/2024,1040,player,0,0,0,349.53,50.66,0,
03/01/2024,1052,VIP,0,160.37,0,0,0,0,
03/01/2024,1058,VIP,0,0,0,0,72.03,0,
03/01/2024,1059,VIP,0,0,0,297.63,0,0,
03/01/2024,1065,player,0,0,0,251.39,0,0,
03/01/2024,1072,player,0,343.71,0,57.35,0,0,
03/01/2024,1073,VIP,0,0,0,0,306.62,0,
03/01/2024,1074,VIP,0,0,0,0,420.56,0,
03/01/2024,1075,VIP,0,0,0,0,91.94,0,
03/01/2024,1077,VIP,0,106.78,0,319.84,435.39,0,
03/01/2024,1079,player,0,0,0,0,394.79,0,
03/01/2024,1090,player,0,176.59,0,0,0,0,
03/01/2024,1091,VIP,0,442.83,0,0,319.92,0,
03/01/2024,1093,player,0,395.66,0,0,0,0,
03/01/2024,1094,VIP,1,0,65.12,0,0,0,
03/01/2024,1097,player,0,98.38,0,0,0,0,
04/01/2024,1003,player,0,0,0,0,225.91,0,
04/01/2024,1004,VIP,0,131.28,0,0,0,0,
04/01/2024,1009,VIP,0,0,0,0,74.73,0,
04/01/2024,1010,player,0,0,0,254.6,0,0,
04/01/2024,1013,player,0,161.84,0,137.95,0,0,
04/01/2024,1014,player,0,417.6,0,0,0,0,
04/01/2024,1016,player,1,0,418.26,0,0,0,
04/01/2024,1019,player,0,0,0,0,467.2,0,
04/01/2024,1020,player,0,0,0,0,276.89,0,
04/01/2024,1021,player,0,35.84,0,0,0,0,
04/01/2024,1024,player,0,0,0,135.98,375.24,0,
04/01/2024,1032,player,0,0,0,543.05,59.61,0,
04/01/2024,1033,player,0,0,0,53.11,0,0,
04/01/2024,1034,VIP,0,0,0,381.09,0,0,
04/01/2024,1037,player,0,0,0,0,208.11,0,
04/01/2024,1039,player,0,0,0,399.47,0,0,
04/01/2024,1052,VIP,0,0,0,386.53,0,0,
04/01/2024,1054,VIP,0,0,0,37.4,0,0,
04/01/2024,1058,VIP,0,0,0,256.97,478.81,0,
04/01/2024,1060,player,0,372.41,0,0,347.16,0,
04/01/2024,1061,player,0,0,0,0,395.4,0,
04/01/2024,1062,player,1,167.64,248.91,0,0,0,
04/01/2024,1065,player,0,0,0,0,156.33,0,
04/01/2024,1068,player,0,0,0,159.26,0,0,
04/01/2024,1070,player,0,263.75,0,0,0,0,
04/01/2024,1073,VIP,0,0,0,418.82,0,0,
04/01/2024,1074,VIP,0,394.85,0,0,0,0,
04/01/2024,1079,player,1,0,125.64,0,0,0,
04/01/2024,1080,player,0,0,0,0,203.72,0,
04/01/2024,1082,player,0,521.66,0,240.38,0,0,
04/01/2024,1087,player,0,0,0,0,206.64,0,
04/01/2024,1090,player,1,256.25,60.16,0,0,0,
04/01/2024,1091,VIP,0,0,0,379.15,0,0,
04/01/2024,1097,player,0,228.03,0,0,0,0,
04/01/2024,1098,player,1,0,99.91,0,0,0,
04/01/2024,1099,player,1,458.87,219.12,0,0,0,
05/01/2024,1003,player,0,364.43,0,0,0,0,
05/01/2024,1004,VIP,0,0,0,0,232.29,0,
05/01/2024,1009,VIP,0,398.87,0,0,0,0,
05/01/2024,1010,player,0,269.77,0,0,0,0,
05/01/2024,1018,player,1,438.05,131.1,0,378.13,0,
05/01/2024,1020,player,0,0,0,0,315.97,0,
05/01/2024,1021,player,0,0,0,462.09,0,0,
05/01/2024,1024,player,0,0,0,372.14,0,0,
05/01/2024,1026,player,0,0,0,448.24,0,0,
05/01/2024,1039,player,0,392.73,0,252.07,0,0,
05/01/2024,1043,player,0,0,0,0,154.83,0,
05/01/2024,1048,VIP,0,16.11,0,0,0,0,
05/01/2024,1049,player,0,0,0,107.65,499.64,0,
05/01/2024,1051,VIP,0,0,0,0,150.45,0,
05/01/2024,1055,VIP,1,0,162.14,0,0,0,
05/01/2024,1056,player,0,349.14,0,0,0,0,
05/01/2024,1057,player,0,136.14,0,0,0,0,
05/01/2024,1059,VIP,0,406.73,0,23.49,0,0,
05/01/2024,1062,player,1,0,324.9,0,0,0,
05/01/2024,1063,player,1,0,82.45,0,0,0,
05/01/2024,1064,VIP,0,0,0,0,344.54,0,
05/01/2024,1068,player,0,499.6,0,0,0,0,
05/01/2024,1070,player,1,0,40.46,0,0,0,
05/01/2024,1073,VIP,0,0,0,0,263.33,0,
05/01/2024,1074,VIP,1,0,22.5,0,0,0,
05/01/2024,1082,player,0,0,0,0,362.74,0,
05/01/2024,1086,VIP,0,413.68,0,0,0,0,
05/01/2024,1087,player,0,0,0,115.66,0,0,
05/01/2024,1088,player,0,0,0,0,282.07,0,
05/01/2024,1090,player,0,169.01,0,44.08,162.07,0,
05/01/2024,1092,player,0,142.69,0,0,0,0,
06/01/2024,1001,player,0,455,0,0,77.6,0,
06/01/2024,1002,player,0,0,0,0,298.78,0,
06/01/2024,1003,player,0,0,0,0,453.01,0,
06/01/2024,1008,player,0,0,0,0,331.43,0,
06/01/2024,1011,player,0,0,0,0,340.08,0,
06/01/2024,1013,player,0,0,0,289.67,0,0,
06/01/2024,1014,player,0,0,0,63.82,0,0,
06/01/2024,1017,player,0,0,0,0,365.91,0,
06/01/2024,1022,VIP,0,0,0,132.41,0,0,
06/01/2024,1023,player,0,0,0,154.68,174.88,0,
06/01/2024,1027,VIP,0,0,0,0,191.57,0,
06/01/2024,1038,VIP,1,0,206.02,0,295.26,0,
06/01/2024,1050,VIP,0,439.39,0,0,0,0,
06/01/2024,1052,VIP,1,0,479.56,0,0,0,
06/01/2024,1054,VIP,0,684.62,0,0,0,0,
06/01/2024,1055,VIP,0,384.53,0,0,0,0,
06/01/2024,1058,VIP,0,0,0,0,8.77,0,
06/01/2024,1060,player,0,321.69,0,0,60.08,0,
06/01/2024,1062,player,0,0,0,0,83.24,0,
06/01/2024,1065,player,0,493.37,0,0,0,0,
06/01/2024,1067,VIP,0,0,0,0,817.78,0,
06/01/2024,1068,player,0,0,0,0,415.14,0,
06/01/2024,1072,player,1,0,189.59,0,0,0,
06/01/2024,1073,VIP,0,0,0,0,239.31,0,
06/01/2024,1085,player,1,315.59,308.3,0,0,0,
06/01/2024,1093,player,0,0,0,312.84,0,0,
07/01/2024,1006,player,0,0,0,0,68.93,0,
07/01/2024,1013,player,1,0,148.7,0,0,0,
07/01/2024,1018,player,0,0,0,74.5,0,0,
07/01/2024,1024,player,0,0,0,652.74,0,0,
07/01/2024,1025,player,0,0,0,185.49,0,0,
07/01/2024,1031,VIP,0,0,0,0,482.99,0,
07/01/2024,1045,VIP,0,0,0,0,97.22,0,
07/01/2024,1047,player,0,410.96,0,0,0,0,
07/01/2024,1049,player,0,485.25,0,0,0,0,
07/01/2024,1052,VIP,2,0,830.3199999999999,0,0,0,
07/01/2024,1055,VIP,1,0,470.34,0,0,0,
07/01/2024,1056,player,0,751.88,0,486.69,324.57,0,
07/01/2024,1057,player,1,0,130,0,0,0,
07/01/2024,1058,VIP,0,0,0,171.91,0,0,
07/01/2024,1060,player,0,0,0,437.74,0,0,
07/01/2024,1062,player,0,0,0,169.5,0,0,
07/01/2024,1063,player,1,0,11.86,0,0,0,
07/01/2024,1084,player,0,0,0,101.54,471.07,0,
07/01/2024,1086,VIP,1,0,61.12,0,0,0,
07/01/2024,1092,player,1,0,359.56,0,94.35,0,
07/01/2024,1093,player,0,0,0,61.39,199.91,0,
07/01/2024,1094,VIP,0,0,0,256.13,0,0,
07/01/2024,1100,player,0,0,0,183.75,0,0,
08/01/2024,1008,player,1,0,499.83,0,0,0,
08/01/2024,1010,player,0,0,0,0,102.89,0,
08/01/2024,1012,player,0,358.04,0,0,0,0,
08/01/2024,1013,player,0,0,0,375.01,0,0,
08/01/2024,1016,player,0,124.94,0,0,0,0,
08/01/2024,1021,player,0,129.93,0,485.9,0,0,
08/01/2024,1023,player,0,0,0,0,208.85,0,
08/01/2024,1038,VIP,0,0,0,91.03,0,0,
08/01/2024,1042,player,1,0,56.54,0,0,0,
08/01/2024,1046,player,0,0,0,121.63,0,0,
08/01/2024,1047,player,0,0,0,0,284.76,0,
08/01/2024,1054,VIP,1,326.1,499.04,0,0,0,
08/01/2024,1058,VIP,0,169,0,0,0,0,
08/01/2024,1059,VIP,0,0,0,0,84.83,0,
08/01/2024,1069,player,1,0,175.6,0,148.98,0,
08/01/2024,1087,player,0,0,0,0,331.67,0,
08/01/2024,1088,player,0,0,0,0,68.58,0,
08/01/2024,1089,player,0,0,0,407.01,0,0,
08/01/2024,1090,player,0,0,0,427.89,0,0,
